15:56:21: newinfo
17:13:01: Decomposing movements and ethograms, time elapse: 139.536seconds
17:13:14: Decomposing completed, time elapse: 520.655seconds
17:19:34: Decomposing poses, time elapse: 355.724seconds
17:19:34: Calculating kernel matrix, time elapse: 0.492seconds
17:21:51: Decomposing movements and ethograms, time elapse: 137.092seconds
17:22:06: Decomposing completed, time elapse: 508.249seconds
17:28:30: Decomposing poses, time elapse: 360.918seconds
17:28:31: Calculating kernel matrix, time elapse: 0.448seconds
17:30:36: Decomposing movements and ethograms, time elapse: 125.007seconds
17:30:48: Decomposing completed, time elapse: 499.252seconds
17:37:18: Decomposing poses, time elapse: 368.397seconds
17:37:18: Calculating kernel matrix, time elapse: 0.383seconds
17:37:58: Decomposing movements and ethograms, time elapse: 40.106seconds
17:38:12: Decomposing completed, time elapse: 422.473seconds
17:45:09: Decomposing poses, time elapse: 399.772seconds
17:45:10: Calculating kernel matrix, time elapse: 0.45seconds
17:47:16: Decomposing movements and ethograms, time elapse: 126.388seconds
17:47:29: Decomposing completed, time elapse: 539.45seconds
17:54:16: Decomposing poses, time elapse: 386.192seconds
17:54:17: Calculating kernel matrix, time elapse: 0.609seconds
17:57:10: Decomposing movements and ethograms, time elapse: 172.804seconds
17:57:24: Decomposing completed, time elapse: 573.854seconds
18:04:15: Decomposing poses, time elapse: 382.208seconds
18:04:15: Calculating kernel matrix, time elapse: 0.411seconds
18:06:17: Decomposing movements and ethograms, time elapse: 122.176seconds
18:06:31: Decomposing completed, time elapse: 518.601seconds
18:13:03: Decomposing poses, time elapse: 371.943seconds
18:13:04: Calculating kernel matrix, time elapse: 0.433seconds
18:15:03: Decomposing movements and ethograms, time elapse: 119.182seconds
18:15:16: Decomposing completed, time elapse: 504.353seconds
18:21:48: Decomposing poses, time elapse: 372.249seconds
